path,title,category,lifecycle,review_date,tags,notes
runbooks/salt-rotation-reindex.md,Salt Rotation and Reindex Runbook,50-ops,longterm,2025-09-22,ops,
runbooks/staging-dunning-portal.md,Staging Checklist: Dunning + Billing Portal (Stripe),50-ops,longterm,2025-09-22,ops,
runbooks/stripe-webhook-reliability.md,"Stripe Webhook Reliability, Idempotency, and Alerting",40-platform,longterm,2025-09-22,"stripe,payments",
security/auth-migration-playbook.md,Supabase Auth Migration Playbook,50-ops,longterm,2025-09-22,ops,
security/overview.md,Security Overview (Schwalbe),50-ops,longterm,2025-09-22,ops,
security/rls-cookbook.md,RLS Policy Cookbook,50-ops,longterm,2025-09-22,ops,
security/rls-policy-catalog.md,RLS Policy Catalog (Template),50-ops,longterm,2025-09-22,ops,
security/security-checklist.md,Privacy & Security Checklist (schwalbe),50-ops,longterm,2025-09-22,ops,
storage/policy-design.md,Storage Policy Design (Supabase),30-product,longterm,2025-09-22,,
strategy/customer-experience-strategy.md,Customer Experience Strategy (Schwalbe),10-strategy,longterm,2025-09-22,strategy,
stripe-api.md,Stripe Integration API Documentation,40-platform,longterm,2025-09-22,"stripe,payments",
stripe-docs-index.md,Stripe Docs Index,40-platform,longterm,2025-09-22,"stripe,payments",
stripe-integration.md,Stripe Integration Overview,40-platform,longterm,2025-09-22,"stripe,payments",
stripe-setup-guide.md,Stripe Setup Automation Guide,40-platform,longterm,2025-09-22,"stripe,payments",
summaries/notifications-and-email.md,Notifications and Email (Summary for Schwalbe),30-product,longterm,2025-09-22,,
summaries/ocr-ai.md,OCR and AI (Summary for Schwalbe),30-product,longterm,2025-09-22,,
summaries/security-improvements.md,Security Improvements (Summary for Schwalbe),30-product,longterm,2025-09-22,,
summaries/storybook-ui.md,Storybook and UI (Summary for Schwalbe),30-product,longterm,2025-09-22,,
summaries/stripe-guides.md,Stripe Guides (Summary for Schwalbe),40-platform,longterm,2025-09-22,"stripe,payments",
support-and-email-auth.md,Support & Email Authentication,30-product,longterm,2025-09-22,,
testing/rls-test-harness.md,RLS Test Harness (SQL),30-product,longterm,2025-09-22,,
testing/rls-test-template.md,RLS Test Template (Positive/Negative),30-product,longterm,2025-09-22,,
tickets/README.md,Tickets (Preflight & Global Rules),30-product,longterm,2025-09-22,,
web-branch-implementation-status-2025-09-18.md,Stav implementácie web vetvy (apps/web-next → apps/web),30-product,longterm,2025-09-22,,
